"fileName","audioId","category","sceneId","track","text","roleKey","role","tone","emotion","pace","keywords","sceneStage","sceneEmotionCurve","sceneVoiceDirection","model","ttsInstruction"
"river_l1.mp3","river_l1","mainline","river","scene","晋太元中，武陵人捕鱼为业。","narrator","旁白","中性温润","平静、轻柔、带画面感","中慢","陪伴、展开、留白","溪行阶段","安静、漫游、若有若无的吸引","旁白最重要，主角心声轻，环境音比人声更重要","wen3-omni-30b-a3b-captioner","角色:旁白；音色:中性温润；情绪:平静、轻柔、带画面感；语速:中慢；关键词:陪伴、展开、留白；场景:溪行阶段；曲线:安静、漫游、若有若无的吸引；演绎:旁白最重要，主角心声轻，环境音比人声更重要"
"river_i1.mp3","river_i1","mainline","river","inner","我本在溪上讨生，顺流而下，越走越深。","protagonist_inner","主角心声","年轻、清透、贴近耳边","好奇、惊异、犹疑、惆怅","中速偏慢","近、轻、真","溪行阶段","安静、漫游、若有若无的吸引","旁白最重要，主角心声轻，环境音比人声更重要","wen3-omni-30b-a3b-captioner","角色:主角心声；音色:年轻、清透、贴近耳边；情绪:好奇、惊异、犹疑、惆怅；语速:中速偏慢；关键词:近、轻、真；场景:溪行阶段；曲线:安静、漫游、若有若无的吸引；演绎:旁白最重要，主角心声轻，环境音比人声更重要"
"river_i2.mp3","river_i2","mainline","river","quote","缘溪行，忘路之远近。","narrator","旁白","中性温润","平静、轻柔、带画面感","中慢","陪伴、展开、留白","溪行阶段","安静、漫游、若有若无的吸引","旁白最重要，主角心声轻，环境音比人声更重要","wen3-omni-30b-a3b-captioner","角色:旁白；音色:中性温润；情绪:平静、轻柔、带画面感；语速:中慢；关键词:陪伴、展开、留白；场景:溪行阶段；曲线:安静、漫游、若有若无的吸引；演绎:旁白最重要，主角心声轻，环境音比人声更重要"
"river_l4.mp3","river_l4","mainline","river","inner","等我回过神，四野陌生，只剩水声带路。","protagonist_inner","主角心声","年轻、清透、贴近耳边","好奇、惊异、犹疑、惆怅","中速偏慢","近、轻、真","溪行阶段","安静、漫游、若有若无的吸引","旁白最重要，主角心声轻，环境音比人声更重要","wen3-omni-30b-a3b-captioner","角色:主角心声；音色:年轻、清透、贴近耳边；情绪:好奇、惊异、犹疑、惆怅；语速:中速偏慢；关键词:近、轻、真；场景:溪行阶段；曲线:安静、漫游、若有若无的吸引；演绎:旁白最重要，主角心声轻，环境音比人声更重要"
"forest_l1.mp3","forest_l1","mainline","peach_forest","scene","前方忽然出现一片桃花林，夹岸而开。","narrator","旁白","中性温润","平静、轻柔、带画面感","中慢","陪伴、展开、留白","见桃林阶段","惊艳、不解、好奇被拉高","主角心声更明显，旁白更柔更慢，可有轻微呼吸","wen3-omni-30b-a3b-captioner","角色:旁白；音色:中性温润；情绪:平静、轻柔、带画面感；语速:中慢；关键词:陪伴、展开、留白；场景:见桃林阶段；曲线:惊艳、不解、好奇被拉高；演绎:主角心声更明显，旁白更柔更慢，可有轻微呼吸"
"forest_i1.mp3","forest_i1","mainline","peach_forest","inner","花色映满水面，我一时看得出了神。","protagonist_inner","主角心声","年轻、清透、贴近耳边","好奇、惊异、犹疑、惆怅","中速偏慢","近、轻、真","见桃林阶段","惊艳、不解、好奇被拉高","主角心声更明显，旁白更柔更慢，可有轻微呼吸","wen3-omni-30b-a3b-captioner","角色:主角心声；音色:年轻、清透、贴近耳边；情绪:好奇、惊异、犹疑、惆怅；语速:中速偏慢；关键词:近、轻、真；场景:见桃林阶段；曲线:惊艳、不解、好奇被拉高；演绎:主角心声更明显，旁白更柔更慢，可有轻微呼吸"
"forest_i2.mp3","forest_i2","mainline","peach_forest","quote","中无杂树，芳草鲜美，落英缤纷。","narrator","旁白","中性温润","平静、轻柔、带画面感","中慢","陪伴、展开、留白","见桃林阶段","惊艳、不解、好奇被拉高","主角心声更明显，旁白更柔更慢，可有轻微呼吸","wen3-omni-30b-a3b-captioner","角色:旁白；音色:中性温润；情绪:平静、轻柔、带画面感；语速:中慢；关键词:陪伴、展开、留白；场景:见桃林阶段；曲线:惊艳、不解、好奇被拉高；演绎:主角心声更明显，旁白更柔更慢，可有轻微呼吸"
"forest_l4.mp3","forest_l4","mainline","peach_forest","inner","花瓣落在船头，我只想看看桃林尽头藏着什么。","protagonist_inner","主角心声","年轻、清透、贴近耳边","好奇、惊异、犹疑、惆怅","中速偏慢","近、轻、真","见桃林阶段","惊艳、不解、好奇被拉高","主角心声更明显，旁白更柔更慢，可有轻微呼吸","wen3-omni-30b-a3b-captioner","角色:主角心声；音色:年轻、清透、贴近耳边；情绪:好奇、惊异、犹疑、惆怅；语速:中速偏慢；关键词:近、轻、真；场景:见桃林阶段；曲线:惊艳、不解、好奇被拉高；演绎:主角心声更明显，旁白更柔更慢，可有轻微呼吸"
"cave_l1.mp3","cave_l1","mainline","cave_entry","scene","桃林到了尽头，前方忽然现出一座山。","narrator","旁白","中性温润","平静、轻柔、带画面感","中慢","陪伴、展开、留白","入洞阶段","谨慎、悬念、压低声音","人声整体收，停顿增多，句尾留悬念","wen3-omni-30b-a3b-captioner","角色:旁白；音色:中性温润；情绪:平静、轻柔、带画面感；语速:中慢；关键词:陪伴、展开、留白；场景:入洞阶段；曲线:谨慎、悬念、压低声音；演绎:人声整体收，停顿增多，句尾留悬念"
"cave_i1.mp3","cave_i1","mainline","cave_entry","inner","山间像有一道小口，我把船慢慢靠过去。","protagonist_inner","主角心声","年轻、清透、贴近耳边","好奇、惊异、犹疑、惆怅","中速偏慢","近、轻、真","入洞阶段","谨慎、悬念、压低声音","人声整体收，停顿增多，句尾留悬念","wen3-omni-30b-a3b-captioner","角色:主角心声；音色:年轻、清透、贴近耳边；情绪:好奇、惊异、犹疑、惆怅；语速:中速偏慢；关键词:近、轻、真；场景:入洞阶段；曲线:谨慎、悬念、压低声音；演绎:人声整体收，停顿增多，句尾留悬念"
